"speciesType","median","n","z"
"Mutant",0.3186255,1686,4.6
"Invader",0.4680975,104,4.7
"Mutant",0.32367,5774,4.7
"Invader",0.4331755,82,4.8
"Mutant",0.320456,4553,4.8
"Invader",0.41187,75,4.9
"Mutant",0.3185975,3564,4.9
"Invader",0.353199,27,5
"Mutant",0.3115425,1056,5
"Invader",0.314897,836,0.1
"Mutant",0.312393,485,0.1
"Invader",0.3105455,420,0.2
"Mutant",0.3100615,314,0.2
"Invader",0.327864,473,0.3
"Mutant",0.303263,341,0.3
"Invader",0.3140385,412,0.4
"Mutant",0.3032295,338,0.4
"Invader",0.319767,261,0.5
"Mutant",0.30947,360,0.5
"Invader",0.318515,274,0.6
"Mutant",0.30365,405,0.6
"Invader",0.332065,338,0.7
"Mutant",0.307207,619,0.7
"Invader",0.3248005,180,0.8
"Mutant",0.302857,353,0.8
"Invader",0.326756,259,0.9
"Mutant",0.306887,709,0.9
"Invader",0.332947,167,1
"Mutant",0.304695,436,1
"Invader",0.3439735,270,1.1
"Mutant",0.3069075,914,1.1
"Invader",0.349062,302,1.2
"Mutant",0.308892,1259,1.2
"Invader",0.343288,218,1.3
"Mutant",0.307754,987,1.3
"Invader",0.3542105,310,1.4
"Mutant",0.306478,1409,1.4
"Invader",0.363283,392,1.5
"Mutant",0.313283,2375,1.5
"Invader",0.358464,230,1.6
"Mutant",0.306623,1102,1.6
"Invader",0.33863,126,1.7
"Mutant",0.307483,763,1.7
"Invader",0.353449,96,1.8
"Mutant",0.312685,879,1.8
"Invader",0.375226,241,1.9
"Mutant",0.313106,2111,1.9
"Invader",0.366524,224,2
"Mutant",0.308115,1867,2
"Invader",0.371314,141,2.1
"Mutant",0.311792,1367,2.1
"Invader",0.3721685,208,2.2
"Mutant",0.317133,2407,2.2
"Invader",0.370528,182,2.3
"Mutant",0.310391,1653,2.3
"Invader",0.373482,93,2.4
"Mutant",0.313945,1562,2.4
"Invader",0.3906615,102,2.5
"Mutant",0.3153015,1780,2.5
"Invader",0.386424,202,2.6
"Mutant",0.319424,3571,2.6
"Invader",0.376417,180,2.7
"Mutant",0.312046,2419,2.7
"Invader",0.3855945,100,2.8
"Mutant",0.3113745,1346,2.8
"Invader",0.355483,50,2.9
"Mutant",0.3057875,612,2.9
"Invader",0.351926,60,3
"Mutant",0.31084,1113,3
"Invader",0.3936425,176,3.1
"Mutant",0.313752,3139,3.1
"Invader",0.37523,81,3.2
"Mutant",0.311151,1287,3.2
"Invader",0.4024685,70,3.3
"Mutant",0.314222,1695,3.3
"Invader",0.394524,109,3.4
"Mutant",0.312085,2091,3.4
"Invader",0.407874,113,3.5
"Mutant",0.3185305,3376,3.5
"Invader",0.418919,115,3.6
"Mutant",0.31359,3113,3.6
"Invader",0.395279,82,3.7
"Mutant",0.312969,2141,3.7
"Invader",0.398915,81,3.8
"Mutant",0.311259,1950,3.8
"Invader",0.391121,95,3.9
"Mutant",0.3145805,2688,3.9
"Invader",0.384332,95,4
"Mutant",0.3130045,2376,4
"Invader",0.374623,58,4.1
"Mutant",0.31069,1493,4.1
"Invader",0.399767,40,4.2
"Mutant",0.316207,1374,4.2
"Invader",0.414449,49,4.3
"Mutant",0.3140825,1932,4.3
"Invader",0.400187,95,4.4
"Mutant",0.320738,4315,4.4
"Invader",0.4163545,110,4.5
"Mutant",0.3227735,5908,4.5
"Invader",0.370074,32,4.6
"Mutant",0.308665,1105,4.6
"Invader",0.438059,75,4.7
"Mutant",0.3177215,3868,4.7
"Invader",0.4605045,84,4.8
"Mutant",0.3279835,5754,4.8
"Invader",0.418857,43,4.9
"Mutant",0.309108,1356,4.9
"Invader",0.380274,45,5
"Mutant",0.311337,1553,5
"Invader",0.32162,1350,0.1
"Mutant",0.316334,1165,0.1
"Invader",0.310873,598,0.2
"Mutant",0.302184,235,0.2
"Invader",0.323672,889,0.3
"Mutant",0.307605,769,0.3
"Invader",0.317628,502,0.4
"Mutant",0.304133,411,0.4
"Invader",0.3203895,166,0.5
"Mutant",0.307203,189,0.5
"Invader",0.319072,232,0.6
"Mutant",0.3053255,360,0.6
"Invader",0.3241705,300,0.7
"Mutant",0.304609,541,0.7
"Invader",0.3336495,442,0.8
"Mutant",0.304633,759,0.8
"Invader",0.346391,329,0.9
"Mutant",0.305488,869,0.9
"Invader",0.3422,345,1
"Mutant",0.310482,1218,1
"Invader",0.336852,205,1.1
"Mutant",0.310008,891,1.1
"Invader",0.3475035,296,1.2
"Mutant",0.306711,1062,1.2
